epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,1116.86,0.85415,0.56402,1.07314,0.99093,0.99902,0.99499,0.80606,0.78758,0.36178,1.04309,0.0063766,0.0063766,0.0063766
185,1122.38,0.86717,0.5663,1.08089,0.99202,0.99945,0.995,0.80794,0.75562,0.36228,1.0285,0.0063568,0.0063568,0.0063568
186,1129.03,0.83809,0.5543,1.06523,0.98393,0.98512,0.99353,0.75181,0.94397,0.41172,1.16151,0.006337,0.006337,0.006337
187,1134.44,0.85398,0.56455,1.06988,0.99134,0.99279,0.99487,0.79454,0.82562,0.38151,1.06991,0.0063172,0.0063172,0.0063172
188,1139.95,0.84611,0.5732,1.09235,0.98763,0.97838,0.99384,0.719,1.05209,0.44295,1.22815,0.0062974,0.0062974,0.0062974
189,1146.52,0.85167,0.56966,1.07068,0.99144,0.99688,0.99496,0.78651,0.8268,0.38498,1.04734,0.0062776,0.0062776,0.0062776
190,1152.03,0.84939,0.56497,1.06882,0.98915,0.99332,0.99491,0.7734,0.88898,0.40458,1.09295,0.0062578,0.0062578,0.0062578
191,1159.06,0.84025,0.55514,1.06553,0.98653,0.99854,0.99496,0.82196,0.69793,0.35231,0.98878,0.006238,0.006238,0.006238
192,1164.3,0.84958,0.55673,1.05914,0.98774,0.99886,0.995,0.82531,0.7372,0.362,1.00774,0.0062182,0.0062182,0.0062182
193,1170.78,0.83964,0.54379,1.04396,0.98594,0.99876,0.99499,0.80329,0.79583,0.37889,1.03541,0.0061984,0.0061984,0.0061984
194,1176.32,0.85781,0.55345,1.06215,0.99342,1,0.995,0.8325,0.70601,0.35255,0.98662,0.0061786,0.0061786,0.0061786
195,1181.62,0.86752,0.57838,1.07602,0.98963,1,0.995,0.79952,0.80148,0.37072,1.05229,0.0061588,0.0061588,0.0061588
196,1188.55,0.82851,0.54367,1.06632,0.99232,0.99953,0.995,0.82481,0.74406,0.36054,1.01543,0.006139,0.006139,0.006139
197,1193.77,0.85191,0.56151,1.06745,0.99219,0.99888,0.995,0.84635,0.64084,0.34,0.95206,0.0061192,0.0061192,0.0061192
198,1200.56,0.83683,0.55758,1.05771,0.99237,0.99991,0.995,0.83913,0.6597,0.3468,0.96402,0.0060994,0.0060994,0.0060994
199,1206.01,0.84439,0.56951,1.06105,0.99288,0.99988,0.995,0.83195,0.69969,0.35609,0.98254,0.0060796,0.0060796,0.0060796
200,1212.53,0.82405,0.53396,1.04466,0.99393,0.99687,0.99499,0.83476,0.67693,0.34814,0.97041,0.0060598,0.0060598,0.0060598
201,1218.19,0.84127,0.57107,1.06402,0.99534,0.99853,0.99495,0.82799,0.69124,0.35518,0.97432,0.00604,0.00604,0.00604
202,1223.74,0.82564,0.55321,1.03994,0.99561,0.99758,0.99499,0.83631,0.67924,0.35146,0.97129,0.0060202,0.0060202,0.0060202
203,1230.58,0.83314,0.55939,1.07165,0.99589,0.99896,0.995,0.83191,0.72081,0.3506,0.99558,0.0060004,0.0060004,0.0060004
204,1236.07,0.82257,0.54975,1.04757,0.99153,0.99432,0.99477,0.79173,0.83376,0.38682,1.07137,0.0059806,0.0059806,0.0059806
205,1243.02,0.83461,0.56975,1.06316,0.97334,0.98329,0.99382,0.78378,0.86727,0.41805,1.08354,0.0059608,0.0059608,0.0059608
206,1248.39,0.83063,0.55164,1.04553,0.99381,0.98796,0.99468,0.82645,0.66675,0.35107,0.97031,0.005941,0.005941,0.005941
207,1255.36,0.82742,0.55816,1.04998,0.99063,0.99248,0.99494,0.78026,0.84446,0.38474,1.08409,0.0059212,0.0059212,0.0059212
208,1260.92,0.80285,0.53936,1.04384,0.98593,0.99546,0.995,0.84221,0.63953,0.33901,0.95578,0.0059014,0.0059014,0.0059014
209,1266.58,0.80068,0.54261,1.05568,0.98603,0.99858,0.995,0.83767,0.63257,0.3346,0.94973,0.0058816,0.0058816,0.0058816
210,1273.22,0.8432,0.57474,1.08253,0.99548,0.99974,0.995,0.80712,0.77555,0.35906,1.0176,0.0058618,0.0058618,0.0058618
211,1278.56,0.81882,0.54429,1.04507,0.99387,0.999,0.995,0.84551,0.68002,0.34078,0.96925,0.005842,0.005842,0.005842
212,1285.67,0.80737,0.55062,1.04862,0.99372,0.99956,0.995,0.84482,0.65217,0.33657,0.96061,0.0058222,0.0058222,0.0058222
213,1290.94,0.81363,0.54911,1.05175,0.99488,0.99865,0.995,0.84402,0.63743,0.33851,0.9593,0.0058024,0.0058024,0.0058024
214,1297.54,0.80633,0.53934,1.04649,0.98584,0.9986,0.99432,0.82721,0.68112,0.34573,0.97989,0.0057826,0.0057826,0.0057826
215,1303.32,0.80612,0.54477,1.04392,0.9868,0.98589,0.99478,0.80089,0.78215,0.37973,1.04423,0.0057628,0.0057628,0.0057628
216,1308.89,0.8134,0.54028,1.04312,0.98338,0.99438,0.99496,0.83558,0.64308,0.3433,0.9577,0.005743,0.005743,0.005743
217,1315.69,0.82577,0.5432,1.0452,0.99004,0.99643,0.995,0.82818,0.66506,0.34579,0.96859,0.0057232,0.0057232,0.0057232
218,1320.98,0.78535,0.51601,1.03607,0.99229,0.99709,0.995,0.83995,0.65383,0.34183,0.96093,0.0057034,0.0057034,0.0057034
219,1327.95,0.78261,0.54502,1.03115,0.99489,0.99798,0.99499,0.84879,0.64182,0.33376,0.95611,0.0056836,0.0056836,0.0056836
220,1333.25,0.7945,0.54623,1.05213,0.99468,0.99803,0.995,0.84691,0.64947,0.33546,0.9624,0.0056638,0.0056638,0.0056638
221,1339.81,0.81204,0.5689,1.06105,0.99359,0.99918,0.995,0.85812,0.6119,0.32841,0.94012,0.005644,0.005644,0.005644
222,1345.63,0.80343,0.55239,1.05284,0.99425,0.99886,0.995,0.863,0.58349,0.32318,0.92907,0.0056242,0.0056242,0.0056242
223,1351,0.78626,0.52999,1.04172,0.99375,0.99744,0.995,0.86465,0.59532,0.32233,0.92773,0.0056044,0.0056044,0.0056044
224,1357.72,0.76867,0.52033,1.026,0.98833,0.99152,0.99499,0.80716,0.81223,0.37275,1.05041,0.0055846,0.0055846,0.0055846
225,1362.93,0.79113,0.52702,1.04118,0.99457,0.99604,0.995,0.86424,0.59338,0.31863,0.9244,0.0055648,0.0055648,0.0055648
226,1369.75,0.8006,0.52611,1.04696,0.99632,0.99752,0.995,0.85598,0.61531,0.32773,0.93291,0.005545,0.005545,0.005545
227,1375.09,0.76359,0.52108,1.02655,0.99557,0.99703,0.995,0.84536,0.65115,0.33163,0.95007,0.0055252,0.0055252,0.0055252
228,1381.11,0.77607,0.50563,1.0395,0.99474,0.99875,0.995,0.85937,0.61922,0.3227,0.93725,0.0055054,0.0055054,0.0055054
229,1387.42,0.77672,0.53139,1.03031,0.99434,0.99931,0.995,0.86446,0.59484,0.32225,0.92986,0.0054856,0.0054856,0.0054856
230,1393.02,0.77467,0.50663,1.03051,0.99549,0.99851,0.995,0.85442,0.6411,0.32546,0.95513,0.0054658,0.0054658,0.0054658
231,1400.03,0.76376,0.51382,1.03279,0.99499,0.99873,0.995,0.85693,0.61102,0.31968,0.94145,0.005446,0.005446,0.005446
232,1405.69,0.75881,0.51853,1.01491,0.99481,0.99753,0.995,0.85741,0.60733,0.31973,0.9418,0.0054262,0.0054262,0.0054262
233,1412.72,0.7552,0.50732,1.02536,0.99601,0.99975,0.995,0.85382,0.62501,0.32075,0.94802,0.0054064,0.0054064,0.0054064
234,1418.28,0.75753,0.50539,1.01705,0.99594,0.99707,0.995,0.84621,0.6691,0.32908,0.97391,0.0053866,0.0053866,0.0053866
235,1424.98,0.76269,0.54068,1.01963,0.99612,0.99935,0.995,0.85079,0.65096,0.32388,0.96426,0.0053668,0.0053668,0.0053668
236,1430.92,0.73347,0.52108,1.02152,0.99554,0.99908,0.995,0.87057,0.55947,0.30896,0.91773,0.005347,0.005347,0.005347
237,1436.56,0.75615,0.51115,1.02626,0.99363,0.99727,0.995,0.86712,0.58676,0.3147,0.92613,0.0053272,0.0053272,0.0053272
238,1443.55,0.7562,0.51123,1.02166,0.9951,0.99986,0.995,0.864,0.58651,0.31247,0.93098,0.0053074,0.0053074,0.0053074
239,1449.18,0.78692,0.53993,1.04568,0.9956,0.9995,0.995,0.84258,0.62784,0.31957,0.94836,0.0052876,0.0052876,0.0052876
240,1456.18,0.76361,0.52981,1.02797,0.9958,0.99969,0.995,0.85967,0.60206,0.31586,0.93012,0.0052678,0.0052678,0.0052678
241,1461.52,0.77249,0.51947,1.03046,0.94053,0.99179,0.98199,0.74387,0.95637,0.42199,1.14923,0.005248,0.005248,0.005248
242,1468.17,0.75991,0.50312,1.01271,0.99431,0.99842,0.995,0.8381,0.68898,0.33557,0.97769,0.0052282,0.0052282,0.0052282
243,1473.91,0.76323,0.52438,1.02504,0.99406,0.99879,0.995,0.86345,0.59619,0.315,0.92684,0.0052084,0.0052084,0.0052084
244,1480.23,0.75616,0.495,1.01169,0.98366,1,0.99432,0.86914,0.57674,0.31371,0.9195,0.0051886,0.0051886,0.0051886
245,1486.63,0.7683,0.51325,1.02542,0.99365,0.99881,0.995,0.86705,0.57641,0.31312,0.9231,0.0051688,0.0051688,0.0051688
246,1492.18,0.77695,0.52702,1.03071,0.99143,0.99739,0.995,0.84879,0.68057,0.33428,0.97687,0.005149,0.005149,0.005149
247,1499.18,0.77435,0.51767,1.03109,0.99245,0.99735,0.99496,0.80612,0.7982,0.36125,1.03504,0.0051292,0.0051292,0.0051292
248,1504.74,0.75608,0.50938,1.02274,0.99433,0.99679,0.995,0.83405,0.71401,0.34198,0.99075,0.0051094,0.0051094,0.0051094
249,1512.1,0.73484,0.49822,1.01058,0.99505,0.99884,0.99499,0.87793,0.55405,0.3043,0.91169,0.0050896,0.0050896,0.0050896
250,1517.78,0.7509,0.51606,1.02326,0.995,0.99847,0.995,0.86089,0.59119,0.31169,0.93541,0.0050698,0.0050698,0.0050698
251,1524.5,0.76018,0.5104,1.01796,0.99449,0.99934,0.995,0.87526,0.55798,0.30164,0.91302,0.00505,0.00505,0.00505
252,1530.29,0.75243,0.5013,1.01385,0.99291,0.99754,0.995,0.87234,0.57953,0.31102,0.92637,0.0050302,0.0050302,0.0050302
253,1536.08,0.75306,0.53033,1.03213,0.99544,0.9986,0.99499,0.84419,0.65282,0.32624,0.96295,0.0050104,0.0050104,0.0050104
254,1543.16,0.75839,0.50054,1.03615,0.99411,0.99971,0.995,0.86276,0.60881,0.31813,0.94041,0.0049906,0.0049906,0.0049906
255,1548.59,0.74345,0.48687,1.01513,0.99629,0.99881,0.995,0.86767,0.60116,0.31342,0.93365,0.0049708,0.0049708,0.0049708
256,1555.92,0.75322,0.49801,1.01643,0.997,0.99868,0.995,0.86923,0.56559,0.30342,0.91546,0.004951,0.004951,0.004951
257,1561.41,0.74533,0.50915,1.0256,0.99474,0.99955,0.995,0.87904,0.54026,0.30047,0.90475,0.0049312,0.0049312,0.0049312
258,1568.7,0.76168,0.51402,1.03276,0.98899,0.99887,0.99472,0.85934,0.61441,0.31361,0.94491,0.0049114,0.0049114,0.0049114
259,1574.52,0.75892,0.51543,1.02793,0.99232,0.9941,0.99489,0.84456,0.64625,0.32303,0.96033,0.0048916,0.0048916,0.0048916
260,1581.12,0.73163,0.51479,1.02734,0.99074,0.99664,0.99457,0.81245,0.76505,0.34417,1.04295,0.0048718,0.0048718,0.0048718
261,1587.07,0.75276,0.50794,1.01659,0.99053,0.99849,0.995,0.85511,0.63557,0.32443,0.94721,0.004852,0.004852,0.004852
262,1592.76,0.73817,0.50231,0.9986,0.9923,0.99747,0.995,0.87212,0.58227,0.30923,0.92217,0.0048322,0.0048322,0.0048322
263,1599.93,0.73404,0.49739,1.02104,0.99399,0.99919,0.995,0.86116,0.62026,0.31905,0.9478,0.0048124,0.0048124,0.0048124
264,1605.61,0.74059,0.4978,1.02351,0.99611,0.99546,0.995,0.86568,0.58254,0.30918,0.92354,0.0047926,0.0047926,0.0047926
265,1612.68,0.72098,0.51261,1.01742,0.99377,0.9975,0.995,0.85604,0.57391,0.30634,0.91579,0.0047728,0.0047728,0.0047728
266,1618.1,0.70223,0.47022,1.00707,0.99286,0.99776,0.995,0.86522,0.56847,0.29906,0.91386,0.004753,0.004753,0.004753
267,1625.13,0.74855,0.5011,1.017,0.98295,1,0.99431,0.86822,0.58057,0.30297,0.91328,0.0047332,0.0047332,0.0047332
268,1630.86,0.74451,0.48623,1.01387,0.98773,0.99153,0.9941,0.85143,0.62306,0.31439,0.93488,0.0047134,0.0047134,0.0047134
269,1636.99,0.73902,0.49832,1.01022,0.98829,0.99639,0.99432,0.87132,0.53784,0.2981,0.90017,0.0046936,0.0046936,0.0046936
270,1643.37,0.72373,0.49598,1.00516,0.98544,0.99819,0.99491,0.82622,0.71372,0.33793,0.99207,0.0046738,0.0046738,0.0046738
271,1648.72,0.71638,0.47882,1.01338,0.99496,0.99888,0.99486,0.82312,0.73722,0.336,1.01024,0.004654,0.004654,0.004654
272,1655.84,0.72197,0.48458,1.00525,0.98668,0.99934,0.99432,0.85731,0.59129,0.30582,0.931,0.0046342,0.0046342,0.0046342
273,1661.37,0.71659,0.48625,0.9958,0.98542,0.99851,0.995,0.85266,0.60753,0.30643,0.93606,0.0046144,0.0046144,0.0046144
274,1668.53,0.71702,0.47535,1.00497,0.99407,0.99931,0.995,0.86801,0.5888,0.3071,0.92758,0.0045946,0.0045946,0.0045946
275,1674.06,0.70492,0.48711,0.99565,0.97837,0.99491,0.99425,0.80201,0.81071,0.35938,1.07087,0.0045748,0.0045748,0.0045748
276,1680.87,0.69056,0.46851,0.9959,0.99422,1,0.995,0.88019,0.54148,0.29149,0.90683,0.004555,0.004555,0.004555
277,1686.57,0.70511,0.47659,0.99884,0.99418,0.99982,0.995,0.87709,0.54626,0.29251,0.90674,0.0045352,0.0045352,0.0045352
278,1692.41,0.71025,0.48277,0.9883,0.99439,0.99923,0.995,0.868,0.55625,0.29703,0.91499,0.0045154,0.0045154,0.0045154
279,1699.26,0.68706,0.47831,0.983,0.995,0.99663,0.995,0.87757,0.5494,0.29942,0.90843,0.0044956,0.0044956,0.0044956
280,1705.22,0.71452,0.4855,0.99816,0.99071,0.99756,0.995,0.82206,0.7453,0.33538,1.01164,0.0044758,0.0044758,0.0044758
281,1712.42,0.70819,0.4798,0.99193,0.99326,0.99867,0.995,0.85755,0.61319,0.30866,0.93155,0.004456,0.004456,0.004456
282,1717.93,0.71693,0.48185,1.00716,0.9946,0.99828,0.995,0.87362,0.56147,0.29264,0.9023,0.0044362,0.0044362,0.0044362
283,1725.21,0.68577,0.47593,0.98907,0.99548,0.99926,0.995,0.86426,0.6118,0.30591,0.93493,0.0044164,0.0044164,0.0044164
284,1730.66,0.70433,0.4782,1.00464,0.99578,0.99813,0.995,0.87344,0.55544,0.29389,0.90189,0.0043966,0.0043966,0.0043966
285,1737.28,0.70526,0.48633,0.9992,0.98757,0.99766,0.99499,0.84145,0.64904,0.32288,0.94996,0.0043768,0.0043768,0.0043768
286,1743.11,0.68188,0.46199,0.98536,0.97357,0.9953,0.99347,0.82198,0.7218,0.35352,0.98745,0.004357,0.004357,0.004357
287,1748.65,0.68765,0.48255,0.99378,0.98888,0.99605,0.99484,0.8433,0.66739,0.33156,0.95663,0.0043372,0.0043372,0.0043372
288,1755.83,0.71295,0.48722,1.01497,0.99512,0.99764,0.995,0.86413,0.59556,0.30465,0.92422,0.0043174,0.0043174,0.0043174
289,1761.58,0.71085,0.47174,0.99783,0.99358,0.9981,0.995,0.8859,0.52303,0.28966,0.89113,0.0042976,0.0042976,0.0042976
290,1768.54,0.70698,0.48907,0.99606,0.9935,0.99697,0.995,0.88852,0.51936,0.28499,0.88822,0.0042778,0.0042778,0.0042778
291,1773.85,0.67868,0.46708,0.98146,0.99375,0.99637,0.99499,0.85058,0.67254,0.31331,0.97408,0.004258,0.004258,0.004258
292,1780.56,0.7053,0.46882,1.00319,0.99255,0.99916,0.99499,0.82487,0.74838,0.33241,1.02026,0.0042382,0.0042382,0.0042382
293,1786.27,0.71282,0.48329,1.00731,0.99652,0.9986,0.995,0.87223,0.53219,0.29153,0.89262,0.0042184,0.0042184,0.0042184
294,1791.63,0.68269,0.47488,0.98451,0.99509,0.99919,0.995,0.88318,0.49284,0.28109,0.8795,0.0041986,0.0041986,0.0041986
295,1798.4,0.7112,0.49936,1.00515,0.98541,0.99858,0.99432,0.88426,0.49461,0.27672,0.87971,0.0041788,0.0041788,0.0041788
296,1803.83,0.68111,0.46238,0.9808,0.99449,0.99965,0.995,0.89118,0.502,0.27882,0.88459,0.004159,0.004159,0.004159
297,1810.94,0.68083,0.4668,0.99621,0.9953,0.99965,0.995,0.89285,0.49924,0.27726,0.88161,0.0041392,0.0041392,0.0041392
298,1816.45,0.68205,0.46042,0.98507,0.99555,0.99821,0.99496,0.8942,0.49866,0.2818,0.8856,0.0041194,0.0041194,0.0041194
299,1822.97,0.68647,0.47856,1.00892,0.9963,0.99864,0.99492,0.88125,0.55473,0.28824,0.91307,0.0040996,0.0040996,0.0040996
300,1828.82,0.69883,0.46912,0.9895,0.99644,0.99965,0.995,0.88919,0.51784,0.27924,0.8922,0.0040798,0.0040798,0.0040798
301,1834.55,0.7026,0.48153,1.00915,0.99466,0.99922,0.995,0.86407,0.62279,0.30158,0.94419,0.00406,0.00406,0.00406
302,1841.59,0.69521,0.47469,1.00683,0.99613,0.99898,0.995,0.88528,0.52079,0.27918,0.89277,0.0040402,0.0040402,0.0040402
303,1847.08,0.67052,0.45524,0.97624,0.99551,0.99913,0.995,0.88998,0.50167,0.27751,0.88571,0.0040204,0.0040204,0.0040204
304,1854.31,0.68151,0.47503,0.99359,0.99408,0.99944,0.995,0.88484,0.5041,0.27956,0.88649,0.0040006,0.0040006,0.0040006
305,1859.73,0.67689,0.45679,0.99285,0.99193,1,0.995,0.87697,0.52634,0.28419,0.89934,0.0039808,0.0039808,0.0039808
306,1866.53,0.68392,0.47701,0.99564,0.99511,1,0.995,0.89175,0.48686,0.27504,0.87761,0.003961,0.003961,0.003961
307,1872.1,0.67683,0.47401,0.99254,0.99597,0.99986,0.995,0.89644,0.46991,0.27123,0.87283,0.0039412,0.0039412,0.0039412
308,1877.8,0.67031,0.46545,0.98423,0.99616,0.99907,0.995,0.89063,0.4998,0.27631,0.88253,0.0039214,0.0039214,0.0039214
309,1884.45,0.65886,0.4519,0.97065,0.99602,0.99932,0.995,0.89403,0.49056,0.27381,0.87728,0.0039016,0.0039016,0.0039016
310,1889.93,0.66589,0.44771,0.9745,0.99642,0.99968,0.995,0.88335,0.52155,0.28002,0.89868,0.0038818,0.0038818,0.0038818
311,1897.03,0.68428,0.46601,0.98529,0.99632,0.99964,0.995,0.89045,0.51079,0.27764,0.8929,0.003862,0.003862,0.003862
312,1902.75,0.70334,0.48414,1.01159,0.99576,0.99997,0.995,0.89016,0.51678,0.27854,0.89291,0.0038422,0.0038422,0.0038422
313,1909.79,0.67272,0.46076,0.99675,0.99522,0.99904,0.995,0.88509,0.53884,0.28029,0.90202,0.0038224,0.0038224,0.0038224
314,1915.36,0.67856,0.45514,0.99012,0.99431,0.9994,0.995,0.88215,0.53835,0.28224,0.89833,0.0038026,0.0038026,0.0038026
315,1921.7,0.66897,0.47002,0.98835,0.99575,0.99862,0.995,0.88814,0.51821,0.27703,0.88499,0.0037828,0.0037828,0.0037828
316,1927.82,0.66366,0.45534,0.97919,0.99605,0.99848,0.995,0.89338,0.50088,0.27368,0.87808,0.003763,0.003763,0.003763
317,1933.24,0.68453,0.45823,0.98462,0.9968,0.99834,0.995,0.89977,0.49478,0.27106,0.87476,0.0037432,0.0037432,0.0037432
318,1940.27,0.68694,0.481,0.99698,0.99737,0.99933,0.995,0.88032,0.55149,0.28163,0.90325,0.0037234,0.0037234,0.0037234
319,1945.6,0.67748,0.46338,0.97861,0.99322,0.99917,0.995,0.81005,0.7966,0.34027,1.06915,0.0037036,0.0037036,0.0037036
320,1952.45,0.65627,0.45545,0.98435,0.99675,1,0.995,0.88879,0.50271,0.27507,0.87914,0.0036838,0.0036838,0.0036838
321,1957.71,0.66361,0.44647,0.98033,0.99471,0.99986,0.995,0.8972,0.47015,0.26736,0.86868,0.003664,0.003664,0.003664
322,1963.76,0.65102,0.44086,0.97444,0.99583,0.99896,0.995,0.88165,0.53854,0.28115,0.8948,0.0036442,0.0036442,0.0036442
323,1969.93,0.65799,0.45731,0.98285,0.99457,0.99998,0.995,0.89474,0.47584,0.26806,0.8679,0.0036244,0.0036244,0.0036244
324,1975.19,0.64119,0.44085,0.97407,0.99369,1,0.995,0.87621,0.53617,0.28,0.89956,0.0036046,0.0036046,0.0036046
325,1982.16,0.67159,0.46066,0.99023,0.99166,0.99671,0.99491,0.84254,0.63919,0.30922,0.95847,0.0035848,0.0035848,0.0035848
326,1987.65,0.66914,0.45774,0.99153,0.98677,0.99626,0.99482,0.84429,0.6359,0.31344,0.95898,0.003565,0.003565,0.003565
327,1994.8,0.65751,0.45169,0.97871,0.98795,0.99729,0.99492,0.86954,0.57178,0.2919,0.92449,0.0035452,0.0035452,0.0035452
328,2000.33,0.66939,0.4383,0.98324,0.99159,1,0.99499,0.89308,0.48245,0.27007,0.87136,0.0035254,0.0035254,0.0035254
329,2006.4,0.64819,0.43815,0.96653,0.99102,0.99814,0.99495,0.87785,0.53387,0.2814,0.89503,0.0035056,0.0035056,0.0035056
330,2012.51,0.65901,0.45148,0.99978,0.99171,1,0.99495,0.90168,0.47095,0.26555,0.86971,0.0034858,0.0034858,0.0034858
331,2017.77,0.66653,0.45307,0.9844,0.99305,1,0.99499,0.89834,0.46767,0.26541,0.86383,0.003466,0.003466,0.003466
332,2025.02,0.6525,0.44173,0.97147,0.99459,0.9995,0.995,0.90971,0.45378,0.26078,0.86083,0.0034462,0.0034462,0.0034462
333,2030.56,0.65394,0.45159,0.97847,0.99569,0.99994,0.995,0.9022,0.46911,0.26637,0.86518,0.0034264,0.0034264,0.0034264
334,2037.49,0.64378,0.441,0.972,0.99661,0.99877,0.995,0.89646,0.49787,0.26926,0.87488,0.0034066,0.0034066,0.0034066
335,2042.96,0.63415,0.43711,0.98098,0.99657,0.99878,0.995,0.90646,0.46873,0.26146,0.86323,0.0033868,0.0033868,0.0033868
336,2048.89,0.63856,0.45811,0.97468,0.99587,0.99933,0.995,0.90343,0.46168,0.26177,0.86439,0.003367,0.003367,0.003367
337,2055.26,0.63012,0.43969,0.96829,0.99538,0.99902,0.995,0.89378,0.48986,0.26824,0.86919,0.0033472,0.0033472,0.0033472
338,2060.79,0.644,0.42306,0.9637,0.99511,0.99882,0.995,0.90384,0.46915,0.26411,0.86395,0.0033274,0.0033274,0.0033274
339,2067.74,0.65368,0.45434,0.97423,0.99557,0.99864,0.995,0.90321,0.48386,0.26738,0.87039,0.0033076,0.0033076,0.0033076
340,2073.18,0.63891,0.43837,0.96285,0.99482,0.99862,0.995,0.90949,0.43578,0.25788,0.85496,0.0032878,0.0032878,0.0032878
341,2080.21,0.65329,0.45332,0.97432,0.99484,0.99845,0.995,0.90819,0.441,0.25818,0.85682,0.003268,0.003268,0.003268
342,2085.73,0.64887,0.43995,0.98318,0.995,0.99887,0.995,0.90028,0.46311,0.26105,0.86491,0.0032482,0.0032482,0.0032482
343,2091.91,0.61731,0.4234,0.96148,0.99585,0.99973,0.995,0.8952,0.48109,0.26502,0.87386,0.0032284,0.0032284,0.0032284
344,2098.19,0.60741,0.43149,0.96313,0.99646,0.99913,0.995,0.90767,0.44168,0.25764,0.86085,0.0032086,0.0032086,0.0032086
345,2103.42,0.61992,0.43737,0.97381,0.9962,0.99949,0.995,0.90339,0.46731,0.26206,0.87445,0.0031888,0.0031888,0.0031888
346,2110.3,0.62165,0.45846,0.97442,0.99625,0.99903,0.995,0.91218,0.44733,0.25738,0.86479,0.003169,0.003169,0.003169
347,2115.87,0.63791,0.41936,0.96207,0.99585,0.99947,0.995,0.90806,0.44659,0.25717,0.86589,0.0031492,0.0031492,0.0031492
348,2122.82,0.64322,0.45926,0.9819,0.99575,0.99951,0.995,0.91421,0.43067,0.25294,0.85901,0.0031294,0.0031294,0.0031294
349,2128.18,0.62139,0.42744,0.96569,0.9956,0.99956,0.995,0.91349,0.42787,0.25218,0.85827,0.0031096,0.0031096,0.0031096
350,2134.04,0.65312,0.45582,0.98506,0.99578,0.9992,0.995,0.91641,0.42693,0.25218,0.85743,0.0030898,0.0030898,0.0030898
351,2140.33,0.61119,0.43431,0.96145,0.99547,0.99927,0.995,0.91086,0.42981,0.25016,0.85837,0.00307,0.00307,0.00307
352,2145.75,0.61561,0.42983,0.96899,0.99392,0.99873,0.995,0.90332,0.4441,0.25098,0.85924,0.0030502,0.0030502,0.0030502
353,2152.76,0.6285,0.43552,0.95483,0.99213,0.99806,0.995,0.91132,0.43558,0.25194,0.85401,0.0030304,0.0030304,0.0030304
354,2158.27,0.62328,0.43525,0.96679,0.99206,0.99762,0.995,0.89464,0.49726,0.2644,0.87946,0.0030106,0.0030106,0.0030106
355,2165.14,0.60529,0.42513,0.94622,0.99444,0.99917,0.995,0.92396,0.40897,0.24511,0.84679,0.0029908,0.0029908,0.0029908
356,2170.58,0.64151,0.44342,0.97692,0.99604,0.99918,0.995,0.91171,0.43481,0.25172,0.85426,0.002971,0.002971,0.002971
357,2176.8,0.63828,0.43411,0.97241,0.99615,0.99697,0.995,0.91789,0.4501,0.2537,0.85632,0.0029512,0.0029512,0.0029512
358,2183.05,0.62984,0.44606,0.97777,0.99528,0.99821,0.995,0.85463,0.64452,0.29691,0.95866,0.0029314,0.0029314,0.0029314
359,2188.53,0.60067,0.41058,0.94745,0.99603,0.99914,0.995,0.91699,0.43944,0.25251,0.85529,0.0029116,0.0029116,0.0029116
360,2195.47,0.64014,0.43305,0.97855,0.99693,0.99724,0.99497,0.87713,0.57371,0.28647,0.91242,0.0028918,0.0028918,0.0028918
361,2201.06,0.62271,0.40862,0.96215,0.95488,0.99409,0.99106,0.80875,0.77208,0.35158,1.02741,0.002872,0.002872,0.002872
362,2208.15,0.60102,0.42033,0.95607,0.99283,0.99852,0.995,0.88956,0.51641,0.27337,0.88484,0.0028522,0.0028522,0.0028522
363,2213.65,0.62546,0.42385,0.96356,0.99419,0.99802,0.995,0.90278,0.48476,0.26529,0.872,0.0028324,0.0028324,0.0028324
364,2220.28,0.6273,0.4383,0.95572,0.99638,0.99816,0.995,0.91605,0.4334,0.25203,0.85249,0.0028126,0.0028126,0.0028126
365,2226.55,0.60685,0.42063,0.94581,0.99516,0.99843,0.995,0.91314,0.43543,0.25193,0.85536,0.0027928,0.0027928,0.0027928
366,2232.48,0.63225,0.4382,0.9839,0.9954,0.99901,0.995,0.91694,0.43378,0.24864,0.85273,0.002773,0.002773,0.002773
367,2239.38,0.63065,0.4384,0.96201,0.99678,0.99847,0.995,0.91984,0.41475,0.24705,0.84572,0.0027532,0.0027532,0.0027532
368,2244.96,0.62266,0.43671,0.95999,0.99622,0.99937,0.995,0.90101,0.48759,0.2611,0.87474,0.0027334,0.0027334,0.0027334
369,2252.33,0.62502,0.42025,0.97419,0.99655,0.99915,0.995,0.91823,0.39944,0.24173,0.8426,0.0027136,0.0027136,0.0027136
370,2257.92,0.618,0.43398,0.96994,0.99633,0.99897,0.995,0.91721,0.40831,0.24215,0.84746,0.0026938,0.0026938,0.0026938
371,2265.32,0.63123,0.43017,0.96952,0.99581,0.99934,0.995,0.91575,0.41736,0.2444,0.8492,0.002674,0.002674,0.002674
372,2270.78,0.61351,0.43116,0.96438,0.99634,0.99856,0.995,0.91479,0.41952,0.24222,0.8481,0.0026542,0.0026542,0.0026542
