epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,263.256,1.24106,0.91685,1.24963,0.91302,0.97897,0.9875,0.66122,1.18716,0.65648,1.25895,0.0091882,0.0091882,0.0091882
43,269.682,1.24944,0.91332,1.24385,0.92883,0.96399,0.97391,0.6488,1.18592,0.64027,1.25127,0.0091684,0.0091684,0.0091684
44,275.674,1.2794,0.98094,1.27731,0.96917,0.91843,0.97767,0.66741,1.15086,0.59652,1.24297,0.0091486,0.0091486,0.0091486
45,280.922,1.27176,0.92636,1.25911,0.93502,0.90847,0.96652,0.55218,1.529,0.69502,1.48066,0.0091288,0.0091288,0.0091288
46,287.803,1.24051,0.94413,1.26216,0.83123,0.82915,0.93336,0.51569,1.53358,0.86448,1.51799,0.009109,0.009109,0.009109
47,292.989,1.25303,0.89666,1.2719,0.96137,0.99636,0.99479,0.61412,1.31423,0.61203,1.36334,0.0090892,0.0090892,0.0090892
48,299.991,1.24878,0.90872,1.25286,0.98956,0.99628,0.99474,0.65609,1.19442,0.58169,1.27899,0.0090694,0.0090694,0.0090694
49,305.503,1.25629,0.90308,1.27487,0.96167,0.98603,0.99407,0.65621,1.1503,0.58329,1.2464,0.0090496,0.0090496,0.0090496
50,311.494,1.21031,0.87731,1.25299,0.95118,0.97919,0.98882,0.66585,1.12515,0.61007,1.24023,0.0090298,0.0090298,0.0090298
51,317.502,1.26717,0.89686,1.28764,0.97536,0.99338,0.99369,0.66383,1.14634,0.59356,1.23763,0.00901,0.00901,0.00901
52,322.667,1.22105,0.8908,1.249,0.98281,0.99494,0.99446,0.66511,1.1345,0.55852,1.23025,0.0089902,0.0089902,0.0089902
53,329.486,1.22789,0.90049,1.27375,0.9877,0.99636,0.99499,0.68947,1.11505,0.56002,1.21586,0.0089704,0.0089704,0.0089704
54,335.046,1.22147,0.90151,1.26611,0.97764,0.96292,0.97906,0.68343,1.11522,0.553,1.21064,0.0089506,0.0089506,0.0089506
55,341.999,1.21386,0.90941,1.25199,0.94013,0.93685,0.9502,0.63368,1.19238,0.5856,1.24689,0.0089308,0.0089308,0.0089308
56,347.233,1.22063,0.87297,1.23138,0.9752,0.97811,0.9909,0.65987,1.20309,0.59378,1.26852,0.008911,0.008911,0.008911
57,353.463,1.21934,0.8529,1.24239,0.98206,0.99182,0.99496,0.66964,1.14547,0.55722,1.24507,0.0088912,0.0088912,0.0088912
58,359.463,1.20082,0.83948,1.22772,0.96931,0.99487,0.99495,0.67899,1.12616,0.55488,1.2394,0.0088714,0.0088714,0.0088714
59,364.727,1.21513,0.86794,1.26125,0.96075,0.99371,0.99494,0.6638,1.16099,0.58543,1.24528,0.0088516,0.0088516,0.0088516
60,371.652,1.19137,0.80829,1.22797,0.96559,0.99581,0.995,0.6878,1.10696,0.53743,1.21751,0.0088318,0.0088318,0.0088318
61,376.924,1.19074,0.83301,1.24238,0.93239,0.9879,0.99487,0.6911,1.11706,0.55179,1.22509,0.008812,0.008812,0.008812
62,383.695,1.2057,0.84674,1.23135,0.89935,0.94761,0.9857,0.67256,1.12897,0.61823,1.22257,0.0087922,0.0087922,0.0087922
63,388.909,1.19608,0.8517,1.23013,0.95008,0.9858,0.99437,0.66997,1.17538,0.55592,1.26225,0.0087724,0.0087724,0.0087724
64,394.624,1.17229,0.82729,1.213,0.97467,0.98159,0.98976,0.67315,1.16691,0.53843,1.27051,0.0087526,0.0087526,0.0087526
65,400.947,1.18093,0.8261,1.25005,0.9703,0.98691,0.99234,0.68033,1.12054,0.55852,1.24999,0.0087328,0.0087328,0.0087328
66,406.122,1.19268,0.84742,1.21188,0.97621,0.9942,0.99499,0.66605,1.20503,0.55377,1.30115,0.008713,0.008713,0.008713
67,412.887,1.16865,0.81933,1.23023,0.98903,0.99446,0.99499,0.66914,1.17808,0.53197,1.27368,0.0086932,0.0086932,0.0086932
